name,rank,year,industry,sector,headquarters_state,headquarters_city,market_value_mil,revenue_mil,profit_mil,asset_mil,employees,founder_is_ceo,female_ceo,newcomer_to_fortune_500,global_500
General Motors Corporation,1,1996,Motor Vehicles & Parts,Financials,MI,Not Available,15835.0,168828.6,948.0,19067.0,25332.0,no,no,no,no
Ford Motor Company,2,1996,Motor Vehicles & Parts,Financials,MI,Not Available,15835.0,137137.0,948.0,19067.0,25332.0,no,no,no,no
Exxon Corporation,3,1996,Petroleum Refining,Financials,TX,Not Available,15835.0,110009.0,948.0,19067.0,25332.0,no,no,no,no
"Wal-Mart Stores, Inc.",4,1996,General Merchandisers,Financials,AR,Not Available,15835.0,93627.0,948.0,19067.0,25332.0,no,no,no,no
AT&T Corp.,5,1996,Telecommunications,Financials,NY,Not Available,15835.0,79609.0,948.0,19067.0,25332.0,no,no,no,no
International Business Machines Corporation,6,1996,"Computers, Office Equipment",Financials,NY,Not Available,15835.0,71940.0,948.0,19067.0,25332.0,no,no,no,no
General Electric Company,7,1996,"Electronics, Electrical Equipment",Financials,CT,Not Available,15835.0,70028.0,948.0,19067.0,25332.0,no,no,no,no
Mobil Corporation,8,1996,Petroleum Refining,Financials,VA,Not Available,15835.0,66724.0,948.0,19067.0,25332.0,no,no,no,no
Chrysler Corporation,9,1996,Motor Vehicles & Parts,Financials,MI,Not Available,15835.0,53195.0,948.0,19067.0,25332.0,no,no,no,no
Philip Morris Companies,10,1996,Tobacco,Financials,NY,Not Available,15835.0,53139.0,948.0,19067.0,25332.0,no,no,no,no
Prudential Insurance Company of America,11,1996,"Insurance: Life, Health (Mutual)",Financials,NJ,Not Available,15835.0,41330.0,948.0,19067.0,25332.0,no,no,no,no
State Farm Group,12,1996,Insurance: Property and Casualty (Mutual),Financials,IL,Not Available,15835.0,40809.9,948.0,19067.0,25332.0,no,no,no,no
"E.I. Du Pont de Nemours and Company, Inc.",13,1996,Chemicals,Financials,DE,Not Available,15835.0,37607.0,948.0,19067.0,25332.0,no,no,no,no
"Texaco, Inc.",14,1996,Petroleum Refining,Financials,NY,Not Available,15835.0,36787.0,948.0,19067.0,25332.0,no,no,no,no
"Sears, Roebuck & Company",15,1996,General Merchandisers,Financials,IL,Not Available,15835.0,35181.0,948.0,19067.0,25332.0,no,no,no,no
